"Industrial production  [T010] 4","363,228","369,074","371,056","374,827","378,038","381,645","379,214","373,456","379,215","381,115","380,693","381,806","378,906","375,786","374,206","371,290","370,637","372,042","374,545","379,758","372,362","372,372","373,209","373,535","377,636","373,472","369,675","371,039","360,219","369,323","375,547","378,104","378,458","375,990","379,581","382,976","385,796","383,725","385,186","385,334","390,178","389,779","390,925","387,752","388,802","386,263","391,048","395,100","393,702","396,707","400,826","400,195","402,015","405,329","408,409","406,914","406,411","407,427","404,394","400,587","400,264","398,341","403,822","409,001","410,215","407,160","400,400","399,954","399,588","398,900","398,559","398,108","395,791","399,164","373,422","318,071","335,168","354,668","367,871","367,341","371,605","371,415","378,830","380,558","389,025","382,895","386,555","383,795","381,352","389,691","385,684","387,430"
"Non-durable manufacturing industries  [T011] 4","82,081","82,923","81,974","82,519","83,818","86,205","85,700","84,940","84,082","85,171","84,750","86,777","86,261","86,137","86,978","86,967","86,927","86,460","86,232","88,391","87,421","86,256","86,411","86,523","87,417","86,824","87,486","87,611","86,142","86,799","88,212","88,253","88,011","87,025","88,163","88,417","87,980","88,206","88,457","88,930","89,524","90,207","89,664","87,806","88,257","88,646","89,989","90,226","90,877","90,365","89,972","88,695","89,148","91,986","92,180","91,917","93,057","91,499","91,589","91,123","91,046","90,638","91,132","91,565","91,307","90,022","89,770","90,082","89,877","90,729","90,069","90,387","88,613","89,335","85,438","74,260","78,238","82,149","86,349","85,425","86,322","87,979","88,916","87,914","89,169","87,086","88,355","88,200","87,556","88,558","88,599","89,467"
"Durable manufacturing industries  [T012] 4","100,594","102,551","102,072","102,250","104,019","103,279","105,296","103,735","105,824","105,016","103,859","105,509","103,820","101,868","102,891","102,499","102,272","100,821","101,454","102,837","101,519","102,231","102,290","102,606","103,980","102,652","101,016","101,708","100,391","101,953","100,869","100,852","101,298","99,969","101,195","101,889","103,109","101,840","102,975","103,338","104,161","103,735","103,590","103,411","102,833","104,129","105,652","105,483","105,664","106,549","108,085","109,078","107,671","108,101","107,617","106,632","106,493","108,300","106,817","106,353","108,058","107,576","109,385","106,985","109,446","108,607","106,983","107,242","107,054","105,263","105,896","104,973","103,126","105,350","90,839","65,668","75,213","91,501","95,381","98,788","98,765","96,219","98,423","98,140","101,144","99,502","100,900","99,191","97,463","99,815","96,826","96,895"
"Information and communication technology sector  [T013] 4","74,742","74,773","75,037","75,259","75,119","76,095","76,948","77,718","77,837","77,814","77,916","78,250","77,552","78,076","78,426","78,523","78,669","79,195","79,269","78,745","79,144","79,233","79,316","79,560","79,722","80,328","80,550","80,191","81,383","81,329","82,042","82,994","82,978","83,423","83,239","83,661","83,855","84,118","84,505","85,230","85,424","86,397","86,277","85,436","86,079","86,117","86,767","87,175","88,030","88,722","88,729","89,049","89,343","89,423","90,112","90,766","90,876","91,353","92,023","92,486","92,338","92,808","92,952","93,091","93,399","94,225","94,086","94,874","95,424","95,583","96,272","96,296","96,068","96,024","94,162","93,138","93,706","94,955","95,932","97,216","97,079","98,370","98,952","98,687","101,436","100,953","101,145","101,729","102,038","101,737","102,146","102,881"
"Energy sector  [T016] 4","161,367","164,094","166,181","167,782","169,408","171,327","168,876","165,001","167,332","169,178","170,773","169,113","168,823","168,471","164,565","162,648","162,237","164,375","166,143","169,089","162,044","161,728","162,013","162,392","165,124","162,554","160,283","159,643","148,625","157,924","165,601","168,858","169,819","168,062","169,617","171,962","172,914","172,195","172,604","171,334","176,033","174,798","175,529","174,228","176,602","171,777","173,673","178,845","176,713","177,942","181,987","179,329","181,170","183,159","185,413","185,717","183,156","185,232","183,351","178,647","177,463","177,406","179,348","186,089","185,494","185,607","181,445","179,697","180,508","181,212","180,673","181,846","180,923","181,889","176,448","166,231","162,748","158,669","159,605","154,276","159,055","162,924","165,754","167,162","169,948","168,273","168,644","166,530","168,714","174,112","171,808","172,223"
"Industrial production (1950 definition)  [T017] 4","357,512","363,308","365,250","368,995","372,161","375,721","373,271","367,516","373,315","375,224","374,851","376,045","373,295","370,241","368,659","365,711","365,051","366,429","368,887","374,078","366,598","366,488","367,302","367,545","371,656","367,472","363,671","365,035","354,129","363,191","369,363","371,869","372,192","369,783","373,371","376,812","379,550","377,482","378,929","379,129","383,961","383,598","384,700","381,547","382,659","380,207","385,143","389,195","387,644","390,559","394,597","393,928","395,662","398,905","401,946","400,428","399,853","400,805","397,652","393,777","393,382","391,431","397,025","402,188","403,536","400,531","393,832","393,394","392,983","392,176","391,791","391,319","388,947","392,339","367,026","312,143","329,167","348,265","361,363","360,803","365,023","364,766","372,102","373,822","382,422","376,344","379,927","377,127","374,754","383,093","379,015","380,728"
"Public Sector  [T018] 4","341,253","341,521","341,800","341,799","341,823","340,392","342,085","342,366","341,090","342,810","343,244","343,013","344,029","344,862","345,150","345,921","345,203","345,862","346,113","345,056","345,905","346,345","346,447","347,231","348,257","349,192","349,997","350,405","351,602","351,973","351,817","352,193","352,795","352,704","352,886","352,823","353,174","353,956","354,451","354,795","355,336","356,281","357,177","358,170","359,180","359,097","359,696","360,755","361,827","362,492","363,489","364,746","366,012","367,078","368,059","368,881","369,514","370,254","370,968","371,796","373,081","373,729","374,478","375,010","375,862","376,520","377,923","378,416","378,831","379,205","379,801","380,904","381,969","382,224","347,920","323,253","333,993","346,953","359,325","365,274","369,180","372,511","373,996","376,674","380,317","382,614","385,887","383,277","386,034","387,867","389,247","389,140"
"Content and media sector  [T019] 4","14,569","14,691","14,687","14,581","14,757","14,855","14,742","14,743","14,585","14,555","14,558","14,393","14,151","14,023","13,855","13,793","13,628","13,638","13,751","13,759","13,678","13,806","13,762","13,744","13,887","13,944","13,970","13,928","13,946","13,992","13,973","14,427","14,248","14,212","14,232","14,213","14,361","14,290","14,391","14,317","14,417","14,341","14,214","14,182","14,094","13,912","13,822","13,819","13,731","13,882","13,806","13,614","13,818","13,800","13,844","13,689","13,619","13,744","13,763","13,846","13,854","13,762","13,814","13,910","13,942","14,069","13,921","13,890","13,876","13,813","13,886","13,871","13,762","13,920","12,198","9,476","9,299","10,123","10,863","11,884","12,257","12,343","12,408","12,272","12,022","12,139","12,359","12,334","12,451","12,574","12,704","12,937"
"All industries (except cannabis sector)  [T020] 4","1,768,227","1,777,214","1,782,035","1,785,703","1,797,021","1,805,283","1,807,871","1,804,085","1,811,291","1,816,459","1,817,598","1,820,301","1,812,880","1,810,342","1,809,215","1,808,622","1,807,548","1,812,439","1,816,983","1,820,790","1,813,261","1,814,969","1,819,235","1,821,272","1,832,412","1,827,118","1,820,419","1,824,576","1,814,263","1,822,992","1,833,764","1,837,984","1,842,651","1,841,533","1,848,284","1,853,292","1,863,324","1,868,201","1,876,040","1,883,220","1,890,500","1,894,071","1,895,232","1,893,799","1,896,947","1,899,620","1,908,013","1,914,885","1,913,554","1,920,905","1,926,058","1,926,118","1,937,726","1,939,579","1,945,642","1,947,273","1,948,361","1,954,173","1,950,745","1,950,054","1,951,712","1,947,604","1,959,977","1,967,292","1,972,378","1,976,555","1,976,425","1,975,473","1,977,606","1,977,017","1,978,974","1,985,323","1,985,776","1,990,894","1,840,006","1,635,601","1,710,497","1,812,625","1,862,655","1,882,782","1,897,438","1,908,856","1,922,428","1,922,413","1,936,234","1,941,316","1,965,711","1,949,322","1,939,126","1,952,351","1,950,874","1,959,202"
"Cannabis sector  [T021] 4","4,948","4,976","4,992","5,025","5,054","5,073","5,107","5,139","5,172","5,210","5,246","5,282","5,287","5,341","5,393","5,415","5,439","5,467","5,488","5,501","5,508","5,504","5,507","5,526","5,508","5,511","5,505","5,514","5,509","5,521","5,531","5,538","5,541","5,559","5,566","5,581","5,600","5,609","5,617","5,629","5,629","5,651","5,665","5,649","5,605","5,524","5,587","5,795","6,091","6,357","6,552","6,657","6,802","6,964","7,132","7,334","7,530","7,955","8,037","7,885","8,465","8,056","8,785","10,070","11,058","11,336","11,943","12,017","12,049","15,068","13,424","11,781","12,667","13,069","13,304","13,395","13,719","14,365","14,395","14,300","14,070","15,010","15,866","16,912","16,476","16,260","16,665","16,938","17,042","17,359","17,059","16,877"
"All industries (except unlicensed cannabis sector)  [T024] 4","1,771,692","1,782,782","1,783,916","1,788,046","1,796,445","1,800,272","1,802,330","1,801,373","1,810,611","1,817,073","1,817,451","1,821,169","1,812,678","1,810,211","1,809,142","1,808,586","1,807,567","1,812,480","1,817,063","1,820,893","1,813,383","1,815,103","1,819,390","1,821,444","1,832,585","1,827,297","1,820,565","1,824,689","1,814,344","1,823,073","1,833,830","1,838,028","1,842,679","1,841,575","1,848,312","1,853,331","1,863,379","1,868,245","1,876,112","1,883,343","1,890,668","1,894,252","1,895,448","1,894,053","1,897,199","1,899,837","1,908,282","1,915,242","1,914,091","1,921,555","1,926,874","1,927,021","1,938,672","1,940,563","1,946,617","1,948,322","1,949,655","1,955,931","1,952,704","1,951,971","1,953,986","1,949,725","1,962,720","1,971,065","1,976,949","1,981,405","1,981,780","1,980,941","1,983,151","1,984,752","1,985,602","1,990,792","1,991,843","1,997,279","1,846,489","1,642,136","1,717,255","1,819,850","1,869,910","1,889,995","1,904,507","1,916,625","1,930,853","1,931,635","1,945,215","1,950,156","1,974,809","1,958,610","1,948,477","1,961,934","1,960,216","1,968,423"
"Agriculture, forestry, fishing and hunting  [11]","37,339","36,775","36,622","36,471","36,177","36,012","35,905","35,516","35,407","35,730","35,866","36,221","36,462","36,916","37,002","37,399","37,578","37,578","37,808","37,965","38,245","38,516","38,532","38,939","38,899","38,773","38,774","38,744","38,859","39,008","39,346","39,570","39,837","40,005","39,865","39,896","40,086","40,287","40,411","40,241","40,250","40,026","40,247","40,198","40,253","40,080","40,127","40,206","40,456","40,702","40,701","40,984","41,209","41,158","41,007","40,939","40,928","41,005","41,235","41,256","41,837","41,572","41,872","42,757","43,449","43,910","44,020","43,791","43,531","45,740","44,443","43,278","44,002","44,372","44,612","44,212","45,186","46,330","46,584","46,740","46,511","46,793","46,868","47,021","46,078","45,352","44,870","44,874","44,191","43,422","41,040","38,721"
"Mining, quarrying, and oil and gas extraction  [21]","134,845","137,679","140,587","143,736","143,936","145,679","142,219","138,717","142,654","143,935","144,089","142,336","142,194","139,396","134,151","131,970","132,419","137,540","141,167","142,741","136,677","138,176","138,247","138,718","138,786","135,608","131,258","130,459","119,926","127,142","137,089","138,402","140,100","141,303","145,647","146,364","149,141","148,205","146,703","146,668","149,806","149,216","151,436","150,186","150,631","146,318","147,395","151,707","148,909","153,792","157,322","156,397","160,480","159,463","162,469","162,165","159,943","160,454","158,492","155,514","151,843","149,504","155,041","165,334","163,769","162,822","156,689","156,057","155,681","155,215","154,161","155,376","158,324","158,024","153,587","137,808","139,440","132,916","136,519","133,313","138,966","139,443","144,687","149,042","154,178","150,929","152,299","152,023","151,337","154,758","157,031","156,979"
"Utilities  [22]","40,047","40,175","40,415","40,137","40,112","40,245","39,895","39,994","40,340","40,545","41,409","40,802","40,986","42,136","42,123","41,355","40,799","40,764","40,253","40,186","39,793","39,240","39,660","39,161","40,415","40,603","40,781","41,500","40,864","42,263","41,791","43,099","42,222","41,885","40,139","41,562","41,339","41,145","41,932","41,225","41,905","41,691","41,847","41,920","42,742","41,716","42,446","43,096","42,774","41,711","41,755","42,045","41,864","42,132","43,128","43,280","43,258","43,455","43,418","42,920","43,324","44,068","42,947","42,685","42,633","42,769","42,864","42,317","42,604","43,209","43,575","42,969","42,606","42,780","42,288","41,556","41,651","42,115","43,063","42,109","41,191","41,617","41,383","41,294","41,102","41,686","41,220","40,852","41,646","43,295","41,223","41,832"
"Construction  [23]","141,846","142,671","142,190","141,726","143,674","144,438","145,575","145,085","145,619","147,395","147,533","146,896","145,234","143,601","141,845","141,345","142,155","141,315","140,963","141,100","139,740","139,315","139,174","138,325","138,113","136,865","135,141","135,852","133,478","132,333","132,932","132,285","133,275","133,566","134,397","134,539","135,434","136,210","136,676","138,278","137,033","139,218","139,808","140,122","141,395","142,684","143,005","142,877","142,560","144,400","144,376","143,878","144,946","143,908","142,742","141,784","140,551","139,696","139,119","138,944","139,478","139,393","140,621","139,901","141,448","142,899","144,238","143,421","143,320","142,776","142,785","143,696","145,281","145,642","139,339","114,221","129,758","139,142","136,815","138,552","138,020","140,253","139,382","141,033","142,336","145,576","148,453","150,082","146,177","144,888","143,421","143,363"
"Manufacturing  [31-33]","182,671","185,479","184,058","184,774","187,843","189,457","190,997","188,668","189,933","190,192","188,612","192,283","190,061","187,983","189,846","189,441","189,170","187,252","187,659","191,195","188,907","188,461","188,674","189,099","191,380","189,452","188,450","189,273","186,494","188,721","189,012","189,035","189,248","186,934","189,296","190,249","191,055","189,989","191,388","192,222","193,640","193,882","193,199","191,194","191,049","192,745","195,609","195,672","196,495","196,890","198,060","197,810","196,833","200,055","199,757","198,500","199,487","199,780","198,364","197,437","199,090","198,200","200,520","198,510","200,754","198,632","196,745","197,314","196,921","195,927","195,938","195,313","191,695","194,660","176,113","139,601","153,191","173,552","181,616","184,163","185,021","184,068","187,224","185,953","190,233","186,520","189,185","187,299","184,914","188,285","185,295","186,218"
"Wholesale trade  [41]","95,290","96,644","96,864","96,568","98,133","98,726","98,237","98,957","100,231","97,589","96,827","97,110","95,506","95,067","94,710","95,612","94,607","95,027","94,061","93,040","92,881","93,137","94,204","95,080","97,254","93,857","92,695","93,864","93,424","93,582","94,200","93,658","93,703","94,226","95,027","95,546","95,865","96,368","97,942","97,565","97,493","96,866","96,737","97,339","96,814","98,404","99,445","99,510","99,518","99,262","99,576","99,991","101,377","99,752","101,065","101,636","101,133","102,219","101,070","101,033","100,239","99,662","101,823","103,051","102,393","103,616","103,750","102,094","103,388","102,529","102,000","102,491","103,035","103,690","98,011","80,270","85,538","99,428","103,319","104,077","104,083","104,406","105,315","104,521","106,448","104,389","107,342","106,670","105,444","103,100","100,973","101,551"
"Retail trade  [44-45]","91,699","91,828","91,707","90,812","90,649","91,291","91,728","91,297","91,104","90,793","91,199","91,203","89,267","90,087","90,872","90,290","90,146","90,935","91,385","91,551","92,280","91,514","93,142","92,427","94,199","95,076","93,725","94,853","94,037","93,621","94,405","94,338","95,072","95,261","95,565","95,444","96,627","96,555","96,557","97,629","97,410","97,857","97,322","96,716","95,870","98,630","97,684","96,847","97,095","97,401","97,891","96,851","99,906","99,167","99,221","99,542","99,626","100,368","99,967","99,189","99,160","99,167","100,431","99,175","99,064","100,203","100,013","99,713","99,870","98,577","98,975","99,832","100,417","100,547","88,405","70,923","84,711","100,011","100,020","99,954","101,886","103,172","104,869","99,897","99,213","104,049","108,931","102,414","99,818","103,875","103,210","105,036"
"Transportation and warehousing  [48-49]","74,676","75,483","76,169","75,884","77,678","78,129","77,802","77,409","77,783","77,700","77,408","78,599","78,073","77,595","78,242","78,276","78,392","78,924","79,563","79,983","79,674","79,629","80,452","80,337","80,327","80,776","79,884","79,613","79,772","80,062","80,484","81,858","81,843","82,076","82,457","82,644","83,851","84,254","84,515","85,780","86,220","86,722","86,055","86,355","86,806","86,170","87,182","86,926","87,468","88,391","88,382","88,123","88,735","88,801","89,151","89,061","89,816","89,570","89,221","89,601","89,766","88,501","89,723","90,240","90,666","90,442","90,305","90,118","88,934","89,650","89,001","90,314","88,516","87,840","77,364","59,975","60,540","65,926","69,484","68,838","69,798","71,219","72,007","72,569","71,942","70,910","72,344","71,937","71,386","71,792","72,664","73,572"
"Information and cultural industries  [51]","55,255","55,340","55,501","55,409","55,782","56,183","56,380","56,588","56,491","56,676","56,972","56,983","56,605","56,667","56,732","56,908","56,834","57,121","57,393","57,504","57,512","57,907","58,061","58,236","58,379","58,598","58,793","58,704","59,039","59,306","59,539","60,183","60,115","60,109","60,356","60,555","61,075","61,193","61,438","61,534","61,912","61,908","61,790","61,742","61,767","61,605","61,587","61,733","61,781","62,098","62,216","62,099","62,478","62,679","62,977","63,061","63,205","63,454","63,663","63,997","64,284","64,414","64,323","64,707","64,850","65,147","65,270","65,377","65,435","65,585","65,682","65,754","65,791","65,888","63,592","60,797","60,830","61,987","62,991","64,049","64,507","64,886","65,324","65,268","65,297","65,824","66,396","66,598","66,860","67,214","67,524","67,916"
"Finance and insurance  [52]","110,069","109,598","109,537","109,932","109,962","110,791","111,357","112,163","113,412","114,947","114,589","115,411","116,472","116,872","117,083","116,624","116,093","116,698","118,112","118,249","117,928","118,032","117,453","117,540","119,436","119,049","119,275","119,531","119,396","120,141","122,074","122,472","123,577","123,109","124,106","124,454","124,942","126,625","128,123","129,415","131,981","132,283","131,694","130,760","130,441","130,988","131,472","132,248","131,973","132,112","130,870","130,577","131,516","131,201","131,516","133,139","133,640","135,439","134,720","134,665","134,683","133,509","134,434","135,081","135,400","135,519","136,397","137,403","137,967","138,599","139,459","140,773","141,050","141,028","139,650","140,382","140,652","142,302","143,833","144,917","144,860","146,066","147,825","147,374","148,025","147,991","148,461","147,445","148,033","148,455","148,670","149,455"
"Real estate and rental and leasing  [53]","218,547","218,912","219,427","219,971","221,327","222,041","222,857","223,424","223,774","224,231","224,778","224,879","224,881","225,661","226,434","227,385","228,561","228,951","229,246","229,716","229,712","230,391","230,944","231,546","231,752","232,556","233,023","233,541","233,867","234,394","234,487","234,481","234,754","235,838","235,654","236,665","237,177","239,056","240,200","240,352","240,248","239,909","240,228","240,703","241,582","242,378","243,601","245,078","243,149","242,936","243,406","244,058","244,431","245,495","246,020","246,749","247,312","247,700","247,898","248,082","248,664","248,237","249,101","249,908","251,356","252,196","253,239","253,860","254,558","255,018","255,658","256,081","255,690","256,856","252,937","243,390","246,439","252,764","257,868","260,194","261,161","261,139","261,271","263,662","264,109","265,096","266,059","264,108","263,167","262,307","262,503","263,106"
"Professional, scientific and technical services  [54]","101,424","101,875","102,645","103,285","103,739","105,093","106,169","106,447","105,944","105,750","106,201","105,632","105,125","104,696","104,312","104,044","103,884","103,671","103,673","103,950","103,651","103,971","104,325","104,666","104,968","105,302","105,735","105,548","106,290","106,406","106,675","106,992","107,490","107,522","107,736","107,972","107,819","108,681","109,116","109,605","110,245","110,316","110,494","110,498","110,887","110,585","110,892","111,906","111,816","112,369","112,895","113,073","113,257","113,554","113,869","114,118","114,320","114,966","115,474","116,693","116,771","117,187","116,912","117,554","117,567","118,222","119,386","120,047","120,456","120,826","121,375","121,313","121,585","122,089","109,639","106,581","108,045","111,301","114,428","116,494","118,142","119,901","120,809","120,372","121,460","122,278","122,961","122,918","122,952","123,108","123,609","123,876"
"Management of companies and enterprises  [55]","11,728","11,533","11,410","11,291","11,237","11,245","11,257","11,255","11,205","11,254","11,408","11,497","11,774","11,882","11,931","12,031","12,055","12,079","12,022","11,910","11,795","11,659","11,492","11,330","11,132","10,851","10,520","10,332","10,196","10,042","9,957","9,871","9,757","9,625","9,553","9,484","9,480","9,402","9,353","9,272","9,233","9,142","9,026","8,887","8,729","8,587","8,406","8,291","8,291","8,262","8,346","8,189","8,077","7,947","7,890","7,817","7,764","7,645","7,570","7,494","7,366","7,249","7,174","7,161","7,096","7,067","7,028","6,995","6,973","6,953","6,941","6,945","6,929","6,911","6,539","5,993","6,005","5,994","5,921","5,855","5,801","5,750","5,690","5,607","5,460","5,377","5,288","5,204","5,107","5,017","4,929","4,840"
"Administrative and support, waste management and remediation services  [56]","49,021","49,083","49,355","49,547","49,934","50,272","50,358","50,528","50,478","50,623","50,701","50,688","50,742","50,860","50,817","50,755","50,759","50,812","51,014","51,057","51,112","51,327","51,291","51,238","51,312","51,387","51,352","51,139","51,084","51,011","51,004","50,964","50,856","50,528","50,406","50,597","50,697","50,612","50,564","50,493","50,746","50,772","50,690","50,593","50,248","49,848","49,673","49,900","50,470","50,551","50,645","50,838","50,892","51,004","51,170","51,134","51,443","51,733","52,263","52,233","52,219","52,135","51,705","51,614","51,493","51,476","51,816","51,800","51,936","52,158","52,299","52,305","52,159","51,943","44,247","37,534","38,490","42,755","43,743","45,351","46,156","46,795","47,297","47,670","47,774","47,243","47,261","47,515","47,035","47,001","47,143","47,191"
"Educational services  [61]","96,183","96,316","96,453","96,558","96,294","94,596","96,212","96,615","95,507","97,398","97,769","97,523","98,073","98,210","97,985","98,289","97,571","98,036","97,865","96,722","97,378","97,133","97,024","97,394","97,508","97,750","98,024","98,107","98,187","98,185","98,090","98,114","98,491","98,704","98,866","98,902","98,613","98,948","99,042","99,184","99,295","99,556","99,637","100,015","100,459","100,388","100,720","101,287","101,650","101,736","101,936","102,235","102,433","102,629","102,736","102,900","103,072","103,114","103,253","103,350","103,741","103,956","104,469","104,570","104,683","104,666","105,276","105,204","105,443","105,304","105,346","105,350","105,379","104,880","95,567","86,339","92,441","94,219","98,718","101,226","102,055","102,527","102,787","103,321","103,835","104,181","105,744","102,249","104,181","104,678","105,409","105,932"
